gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr
Biomass_IGCC,Central,BioSolid,2020,0.0,0.0,0.0
Biomass_IGCC,Central,BioSolid,2030,0.0,0.0,0.0
Biomass_IGCC,North,BioSolid,2020,0.0,0.0,0.0
Biomass_IGCC,North,BioSolid,2030,0.0,0.0,0.0
Biomass_IGCC,South,BioSolid,2020,0.0,0.0,0.0
Biomass_IGCC,South,BioSolid,2030,70.01308022447147,1172018.9629576523,0.0
Biomass_IGCC_CCS,North,BioSolid,2030,0.0,0.0,0.0
Biomass_IGCC_CCS,South,BioSolid,2030,0.0,0.0,0.0
Central_PV,Central,Solar,2020,2.7611807577219074e-16,0.0,0.0
Central_PV,Central,Solar,2030,17.267266799999913,0.0,0.0
Central_PV,North,Solar,2020,0.0,0.0,0.0
Central_PV,North,Solar,2030,10.5665364,0.0,0.0
Central_PV,South,Solar,2020,0.0,0.0,0.0
Central_PV,South,Solar,2030,0.0,0.0,0.0
Coal_IGCC,Central,Coal,2020,0.0,0.0,0.0
Coal_IGCC,Central,Coal,2030,0.0,0.0,0.0
Coal_IGCC,North,Coal,2020,0.0,0.0,0.0
Coal_IGCC,North,Coal,2030,0.0,0.0,0.0
Coal_IGCC_CCS,North,Coal,2030,0.0,0.0,0.0
Coal_ST,Central,Coal,2020,14.832031392000001,53395.31301120001,13459.17856635648
Coal_ST,North,Coal,2020,14.832031392000001,50428.9067328,12750.80074707456
Coal_ST,North,Coal,2030,14.832072,50429.044799999996,12750.835656959998
Commercial_PV,Central,Solar,2020,0.0,0.0,0.0
Commercial_PV,Central,Solar,2030,2.4053904,0.0,0.0
Commercial_PV,North,Solar,2020,0.0,0.0,0.0
Commercial_PV,North,Solar,2030,6.5289168,0.0,0.0
Commercial_PV,South,Solar,2020,0.0,0.0,0.0
Commercial_PV,South,Solar,2030,0.0,0.0,0.0
Geothermal,North,Geothermal,2020,8.490555608562001,244782.71819484245,0.0
Geothermal,North,Geothermal,2030,0.0,0.0,0.0
Geothermal,South,Geothermal,2020,25.471666825686,881217.7855014327,0.0
Geothermal,South,Geothermal,2030,0.0,0.0,0.0
NG_CC,Central,NaturalGas,2020,4.550886146157968,12426.103604361406,1619.0564768260235
NG_CC,Central,NaturalGas,2030,7.591127726414013e-14,2.0727422434418937e-10,0.0
NG_CC,North,NaturalGas,2020,5.945112780004116,20291.26442943205,2115.0767219375593
NG_CC,North,NaturalGas,2030,-3.892886013545652e-15,-1.3286809252832665e-11,0.0
NG_CC,South,NaturalGas,2020,38.75803408541987,158742.0553643359,13788.8411398778
NG_CC,South,NaturalGas,2030,9.93928343883993e-16,4.070852196612548e-12,0.0
NG_CC_CCS,North,NaturalGas,2030,8.66897023716668e-14,8.062142320565013e-10,0.0
NG_CC_CCS,South,NaturalGas,2030,0.0,0.0,0.0
NG_GT,Central,NaturalGas,2020,16.480034879999998,366608.263926528,9085.334461113793
NG_GT,Central,NaturalGas,2030,-8.868946167732405e-14,-1.97295028868908e-09,-4.8893914872262036e-11
NG_GT,North,NaturalGas,2020,13.836990371450447,384765.1912589226,7628.241467644189
NG_GT,North,NaturalGas,2030,1.1678658040636966e-14,3.2474844413599206e-10,0.0
NG_GT,South,NaturalGas,2020,5.132782567847288,171272.74183695542,2829.669153289262
NG_GT,South,NaturalGas,2030,2.333118932950515e-14,7.785244580226596e-10,0.0
Nuclear,Central,Uranium,2030,0.0,0.0,0.0
Nuclear,North,Uranium,2030,0.0,0.0,0.0
Residential_PV,Central,Solar,2020,0.0,0.0,0.0
Residential_PV,Central,Solar,2030,1.4604156,0.0,0.0
Residential_PV,North,Solar,2020,0.0,0.0,0.0
Residential_PV,North,Solar,2030,4.2523865999999995,0.0,0.0
Residential_PV,South,Solar,2020,0.0,0.0,0.0
Residential_PV,South,Solar,2030,0.0,0.0,0.0
Wind,Central,Wind,2020,3.965852579668196e-16,0.0,0.0
Wind,Central,Wind,2030,50.363475120000004,0.0,0.0
Wind,North,Wind,2020,0.0,0.0,0.0
Wind,North,Wind,2030,19.35968693284058,0.0,0.0
